sub_title
"!!??!!"
"""난 너고, 넌 나야. 우린 하나야."""
"""내 이름은 떨거지가 아니다. 난, 추격자- 프라시우스다."""
"""너가 말한 것처럼, 잊지 않도록."""
"""단편적인 그림은, 그 무엇보다 입체적인 사물의 모습이었을 거야."""
"""마지막 잔을... 자네와 함께 기울여- 영광이었어.."""
"""바람을 타고, 눈을 뜨고, 날개를 펼치며, 세 사람은..."""
"""살아남아라."""
"""야, 야, 야, 야, 야, 야, 야, 야, 야, 야, 야, 야, 야, 야, 야, 야, 야."""
"""오늘의 나로서."""
"""외계인이 만든 선협 게임""을 홍보합니다. 현재 16만자"
"""외계인이 만든 선협 게임""을 홍보합니다: 현재 16만자"
"""외계인이 만든 선협 게임""을 홍보합니다: 현재 25만자"
"""외계인이 만든 선협 게임""을 홍보합니다: 현재 30만자"
"""운명을 마무리하며-"""
"""적들을 도륙한다."""
"# 11. 내란에 휘말리다. (2)"
"# 11. 내란에 휘말리다. (4)"
"# 14. 로젤레스 제국의 움직임 (3)"
"# 14. 로젤레스 제국의 움직임 (4)"
"# 15. 개전"
"# 2-2 ; 슈트라 왕국 사 왕자의 죽음.(3)"
"# 2-3 ; 알 66 특수 수사대.(1)"
"# 2-3 ; 알 66 특수 수사대.(4)"
"# 2-3 ; 알 66 특수 수사대.(7)"
"# 2-4 ; 에벨로트의 힘.(12)"
"# 2-4 ; 에벨로트의 힘.(3)"
"# 2-4 ; 에벨로트의 힘.(7)"
"# 2-4 ; 에벨로트의 힘.(8)"
"# 2-5 ; 진범이지만 음모는 찻잔을 넘었다.(1)"
"# 2-5 ; 진범이지만 음모는 찻잔을 넘었다.(10)"
"# 2-5 ; 진범이지만 음모는 찻잔을 넘었다.(2)"
"# 2-5 ; 진범이지만 음모는 찻잔을 넘었다.(8)"
"# 2-5 ; 진범이지만 음모는 찻잔을 넘었다.(9)"
"# 2-6 ; 카비얀 타라스 슈트라.(2)"
"# 2-6 ; 카비얀 타라스 슈트라.(4)"
"# 2-6 ; 카비얀 타라스 슈트라.(7)"
"# 2. 피는 물보다 진하다?(5)"
"# 28_주의, 주장, 입장의 차이"
"# 3-10 ; 블랙번과 후도프.(1)"
"# 3-10 ; 블랙번과 후도프.(2)"
"# 3-12 ; 후도프와 탑핀스.(1)"
"# 3-12 ; 후도프와 탑핀스.(3)"
"# 3-12 ; 후도프와 탑핀스.(4)"
"# 3-12 ; 후도프와 탑핀스.(6)"
"# 3-12 ; 후도프와 탑핀스.(7)"
"# 3-12 ; 후도프와 탑핀스.(9)"
"# 3-7 ; 카싸인 로프로 백작.(1)"
"# 3-7 ; 카싸인 로프로 백작.(2)"
"# 3-7 ; 카싸인 로프로 백작.(3)"
"# 3-7 ; 카싸인 로프로 백작.(4)"
"# 3-7 ; 카싸인 로프로 백작.(7)"
"# 3-7 ; 카싸인 로프로 백작.(8)"
"# 3-8 ; 먹튀 사인방.(1)"
"# 3-8 ; 먹튀 사인방.(2)"
"# 3-8 ; 먹튀 사인방.(4)"
"# 3-8 ; 먹튀 사인방.(8)"
"# 3-9 ; 베레타 M180 F라고 8미리 폭발형 36발.(1)"
"# 3-9 ; 베레타 M180 F라고 8미리 폭발형 36발.(2)"
"# 3. 데이트 두 번 하기(1)"
"# 3. 데이트 두 번 하기(5)"
"# 3. 데이트 두 번 하기(完)"
"# 31 피디님께 연락을 드려볼게요"
"# 32. E급 게이트(2)"
"# 35. 네르갈(1)"
"# 35_거절과 포용"
"# 37_거래 (2)"
"# 4-13 ; 카비얀과 육탄 거래.(1)"
"# 4-14 ; 다크 노나곤의 도발.(1)"
"# 4-14 ; 다크 노나곤의 도발.(3)"
"# 4-14 ; 다크 노나곤의 도발.(5)"
"# 4-15 ; 테리안 라피르 타라스 슈트라 대공.(1)"
"# 4-15 ; 테리안 라피르 타라스 슈트라 대공.(3)"
"# 4-15 ; 테리안 라피르 타라스 슈트라 대공.(4)"
"# 4-16 ; 솜미트 술 공장.(1)"
"# 4-16 ; 솜미트 술 공장.(4)"
"# 4-16 ; 솜미트 술 공장.(6)"
"# 4-16 ; 솜미트 술 공장.(8)"
"# 4-16 ; 솜미트 술 공장.(9)"
"# 4-17 ; 맥길 주조장.(2)"
"# 4-18 ; 코튼벌과 키메라.(1)"
"# 4-18 ; 코튼벌과 키메라.(4)"
"# 4-19 ; 트라드포름과 챠록.(2)"
"# 4-19 ; 트라드포름과 챠록.(4)"
"# 4. 진실의 저 편에서(2)"
"# 4. 진실의 저 편에서(完) - 1부 끝"
"# 4. 진실의 저 편으로(5)"
"# 4. 진실의 저 편으로(7)"
"# 42_저마다의 사정"
"# 43_서로의 입장 차이"
"# 44_시스터 클레어 캠벨"
"# 48_인페르노스 형태의 빙의자"
"# 5 ; 카보레르크로 루탄 자작.(3)"
"# 5-1 ; 아타벨트의 시작.(1)"
"# 5-1 ; 아타벨트의 시작.(10)"
"# 5-1 ; 아타벨트의 시작.(14)"
"# 5-1 ; 아타벨트의 시작.(15)"
"# 5-1 ; 아타벨트의 시작.(17)"
"# 5-1 ; 아타벨트의 시작.(19)"
"# 5-1 ; 아타벨트의 시작.(3)"
"# 5-1 ; 아타벨트의 시작.(7)"
"# 5-1 ; 아타벨트의 시작.(8)"
"# 5-2 ; 몬드의 블랙헤드스네이크.(2)"
"# 5-2 ; 몬드의 블랙헤드스네이크.(3)"
"# 5-3 ; 페니커스의 저주.(2)"
"# 5-3 ; 페니커스의 저주.(3)"
"# 5-4 ; 발록의 출현.(1)"
"# 5-5 ; 흑색오크의 조직적인 공격.(1)"
"# 5-5 ; 흑색오크의 조직적인 공격.(4)"
"# 5. 너의 각오는? (2권 시작) (유료 시작)"
"# 5. 너의 각오는? (5)"
"# 50_스티그마(Stigma)"
"# 52_어느 평범한 날의 오후"
"# 53_독이 든 성배"
"# 55_증오의 연쇄"
"# 56_서로의 목적"
"# 59_폭동의 웨스트사이드 (1)"
"# 6 ; 투레드 쿠로프 백작.(2)"
"# 6 ; 투레드 쿠로프 백작.(4)"
"# 6 ; 투레드 쿠로프 백작.(7)"
"# 6-1 ; 개싸움이 전쟁된다.(2)"
"# 6-1 ; 개싸움이 전쟁된다.(5)"
"# 6-2 ; 슈트라 왕국 4군 사령부.(2)"
"# 6-2 ; 슈트라 왕국 4군 사령부.(4)"
"# 6-2 ; 슈트라 왕국 4군 사령부.(6)"
"# 6-2 ; 슈트라 왕국 4군 사령부.(7)"
"# 6-2 ; 슈트라 왕국 4군 사령부.(8)"
"# 6-3 ; 샤빌 3군 사령부. (10)"
"# 6-3 ; 샤빌 3군 사령부. (2)"
"# 6-3 ; 샤빌 3군 사령부. (5)"
"# 6-3 ; 샤빌 3군 사령부. (7)"
"# 6-3 ; 샤빌 3군 사령부. (8)"
"# 6-4 ; 머매드 족.(1)"
"# 6-4 ; 머매드 족.(3)"
"# 6-5 ; 슘탄 왕국 3군 사령부.(4)"
"# 6-6 ; 수토나 국제연맹 지부.(2)"
"# 60_폭동의 웨스트사이드 (2)"
"# 7 ; 재주는 곰."
"# 7-1 ; 루빌드 라임.(10)"
"# 7-1 ; 루빌드 라임.(3)"
"# 7-1 ; 루빌드 라임.(5)"
