word,cnt
화,15902
장,4483
제,3631
하다,2419
부,1516
들,1387
외전,1207
자,1038
권,990
것,807
그,787
되다,780
시작,723
Chapter,688
이,667
없다,586
이야기,585
편,560
전쟁,533
있다,511
–,505
나,502
않다,483
대,468
Episode,456
왕,434
그리고,419
수,391
전,387
새롭다,380
신,380
세계,360
속,359
번째,346
사람,344
의,340
길,337
적,322
시대,318
날,316
내,315
두,315
보다,315
검,303
일,298
기사,298
전투,296
위,293
성,291
세상,291
가다,284
그림자,283
마,282
아니다,281
밤,281
다시,279
끝,278
던전,278
막,275
검다,273
연재,273
세,270
시간,269
영웅,263
이다,242
찾다,242
첫,240
도시,236
마왕,231
마지막,230
더,228
너,225
님,223
기,220
사랑,218
제국,216
차,213
꿈,211
크다,208
바람,206
죽음,206
The,204
귀환,203
기억,202
악마,202
오다,200
붉다,198
해,198
준비,197
작전,196
게임,193
사,193
숲,193
만남,193
눈,192
그녀,190
못,187
천,187
과거,187
번,186
