word,cnt
화,277277
장,68993
제,61882
하다,43179
권,27640
들,19164
자,14259
되다,12622
부,11148
이,10734
시작,10683
Chapter,10044
것,9642
전쟁,9459
있다,8965
그,8832
없다,8831
내,8764
나,8744
왕,8183
신,7586
대,7155
편,6905
새롭다,6595
않다,6458
–,6416
세계,6315
전,6151
일,6082
보다,5779
천,5775
수,5714
이다,5583
끝,5482
사람,5455
그리고,5427
검,5408
적,5391
귀환,5272
가다,5270
의,5142
천재,5091
마,5038
속,5028
외전,5017
헌터,4973
번째,4875
위,4831
두,4776
성,4686
다시,4587
회귀,4549
터,4542
더,4381
아니다,4336
던전,4226
전투,4204
세,4176
마지막,4095
오다,4062
되어다,4024
님,4000
급,3952
안,3950
영웅,3932
연재,3926
길,3876
재벌,3822
채다,3771
이야기,3542
준비,3529
세상,3407
첫,3402
기,3392
시대,3368
크다,3354
소,3309
게임,3306
사,3294
최강,3278
먹다,3274
놈,3271
천마,3161
전설,3157
검다,3099
찾다,3079
마왕,3069
너,3046
환생,3018
법,3017
무림,3013
신의,3009
밤,3000
꿈,2968
무적,2953
좋다,2951
시간,2938
악마,2890
차,2881
다,2866
