ID,author,avg_serial_week,ending,favorite,letter,link,period,recommendation,serial_last,serial_start,serial_time,source,title,version,view
0,영완(映完),5.4,연재작,14359,427126,https://novel.munpia.com/280484,38,57261,2021.11.05 02:15,2021.09.28 23:00,76,문피아_유료,식스센스,1,1950877
1,학인생,1.5,연재작,11244,1726425,https://novel.munpia.com/209657,478,62260,2021.11.05 00:59,2020.07.15 18:00,247,문피아_유료,메이지 슬레이어,1,1142635
2,오수정,6.9,연재작,5772,663552,https://novel.munpia.com/278996,56,24185,2021.11.05 00:29,2021.09.10 16:00,102,문피아_유료,골을 넣는 스트라이커,1,1081884
3,신군신군,7.0,연재작,10332,434104,https://novel.munpia.com/279940,32,40789,2021.11.05 00:14,2021.10.04 18:00,78,문피아_유료,재벌인데 돈을 아낌,1,1940014
4,높푸름,7.9,연재작,2336,1293462,https://novel.munpia.com/265240,108,16505,2021.11.05 00:08,2021.07.20 10:00,196,문피아_유료,거미가 사라진 세상,1,465354
5,리플래시,5.1,연재작,10028,3534308,https://novel.munpia.com/193988,555,102346,2021.11.05 00:00,2020.04.29 17:00,452,문피아_유료,시스템 미디블나이트,1,2578140
6,왕그리,5.3,연재작,8491,393107,https://novel.munpia.com/280342,37,30113,2021.11.04 23:59,2021.09.28 22:00,74,문피아_유료,어쩌다가 축구선수,1,1339368
7,선불,3.6,연재작,19591,724055,https://novel.munpia.com/265288,107,88552,2021.11.04 23:59,2021.07.20 20:00,114,문피아_유료,현대 무림 견문록,1,3060569
8,마크칼,7.1,연재작,985,569834,https://novel.munpia.com/278839,41,4811,2021.11.04 23:58,2021.09.24 17:00,112,문피아_유료,아카데미 F반의 회복 천재,1,201935
9,오브더,7.0,연재작,4150,1376763,https://novel.munpia.com/259775,167,19563,2021.11.04 23:55,2021.05.21 17:00,228,문피아_유료,"회귀 헌터, 공작가의 막내아들 되다.",1,1307365
10,모옹깡,5.2,연재작,3927,411548,https://novel.munpia.com/279511,31,19551,2021.11.04 23:54,2021.10.04 23:00,76,문피아_유료,만렙 귀환자가 사는 법,1,1018023
11,맥치,7.5,연재작,12812,408793,https://novel.munpia.com/284021,22,53758,2021.11.04 23:51,2021.10.13 12:00,75,문피아_유료,4서클 마법사의 회귀,1,2395590
12,글쓰는고양,4.3,연재작,3966,749818,https://novel.munpia.com/256888,156,20199,2021.11.04 23:50,2021.06.01 22:00,149,문피아_유료,독일군 원수가 회귀했다!,1,675792
13,꿈가득남,4.0,연재작,3083,738455,https://novel.munpia.com/262045,153,11868,2021.11.04 23:46,2021.06.04 17:00,140,문피아_유료,천재재벌 강림하다,1,744322
