author,avg_serial_week,check_count,ending,favorite,id,letter,link,period,recommendation,serial_last,serial_start,serial_time,source,title,version,view,view_per_date,recommendation_per_date,letter_per_date,favorite_per_date,view_per_serial,recommendation_per_serial,letter_per_serial,favorite_per_serial
소모사,7.1,0,연재작,4474,0,516679,https://novel.munpia.com/282240,4,22081,2021.11.08 13:50,2021.11.04 14:00,90,문피아_유료,재벌인생기록부,1,1270015,317503.75,5520.25,129169.75,1118.5,14111.277777777777,245.34444444444443,5740.877777777778,49.71111111111111
홍마루,1.3,0,연재작,718,1,906165,https://novel.munpia.com/172834,114,5591,2021.11.08 13:35,2021.07.17 17:00,157,문피아_유료,백성을 품은 광해의 난-임자징란,1,350850,3077.6315789473683,49.04385964912281,7948.815789473684,6.298245614035087,2234.7133757961783,35.611464968152866,5771.751592356688,4.573248407643312
잠룡.,4.3,0,연재작,1783,2,1026307,https://novel.munpia.com/251287,168,11746,2021.11.08 13:00,2021.05.24 12:30,200,문피아_유료,삼국지 : 업어 키운 엄백호,1,485030,2887.0833333333335,69.91666666666667,6108.9702380952385,10.613095238095237,2425.15,58.73,5131.535,8.915
고타마™,6.2,0,연재작,26423,3,1133550,https://novel.munpia.com/267107,139,125246,2021.11.08 13:00,2021.06.22 17:00,174,문피아_유료,검신급 재능을 사다,1,4577155,32929.17266187051,901.0503597122303,8155.035971223022,190.0935251798561,26305.488505747126,719.8045977011494,6514.6551724137935,151.85632183908046
최선을다해,6.8,0,연재작,8284,4,874812,https://novel.munpia.com/272690,97,40234,2021.11.08 13:00,2021.08.03 07:00,156,문피아_유료,"천재, 개망나니 재벌이 되었다",1,2119681,21852.381443298967,414.78350515463916,9018.680412371134,85.4020618556701,13587.698717948719,257.9102564102564,5607.7692307692305,53.1025641025641
빈수박,7.2,0,연재작,6298,5,751530,https://novel.munpia.com/276952,69,30818,2021.11.08 13:00,2021.08.31 13:00,123,문피아_유료,회귀한 후작가 장남은 마법천재,1,1606647,23284.739130434784,446.6376811594203,10891.739130434782,91.27536231884058,13062.170731707318,250.5528455284553,6110.0,51.203252032520325
정주행,6.7,0,연재작,8073,6,375790,https://novel.munpia.com/284744,6,30339,2021.11.08 13:00,2021.11.02 13:00,65,문피아_유료,전생에 재벌이었다,1,1227959,204659.83333333334,5056.5,62631.666666666664,1345.5,18891.676923076924,466.75384615384615,5781.384615384615,124.2
NK스토리,5.3,0,연재작,12637,7,669591,https://novel.munpia.com/276477,82,46420,2021.11.08 12:50,2021.08.18 12:00,101,문피아_유료,재벌회장의 즐거운 Flex 생활,1,2140338,26101.682926829268,566.0975609756098,8165.743902439024,154.109756097561,21191.465346534653,459.6039603960396,6629.6138613861385,125.11881188118812
미립,8.6,0,연재작,11574,8,1696119,https://novel.munpia.com/257796,182,66171,2021.11.08 12:40,2021.05.10 18:00,257,문피아_유료,마왕인데 용사가 너무 많음,1,1988502,10925.835164835165,363.5769230769231,9319.335164835165,63.59340659340659,7737.3618677042805,257.4747081712062,6599.684824902723,45.03501945525292
짜빈동귀신,7.3,0,연재작,14844,9,431721,https://novel.munpia.com/283314,21,47463,2021.11.08 12:35,2021.10.18 11:00,73,문피아_유료,진화 특성으로 최강 네크로맨서,1,2021520,96262.85714285714,2260.1428571428573,20558.14285714286,706.8571428571429,27692.054794520547,650.1780821917808,5913.986301369863,203.34246575342465
병장개미,5.9,0,연재작,12499,10,1501238,https://novel.munpia.com/244033,229,86422,2021.11.08 12:30,2021.03.24 12:00,260,문피아_유료,강철의 용병,1,2764416,12071.685589519651,377.3886462882096,6555.624454148472,54.580786026200876,10632.36923076923,332.39230769230767,5773.992307692308,48.073076923076925
주딩크,5.2,0,연재작,11547,11,986996,https://novel.munpia.com/266553,133,57320,2021.11.08 12:30,2021.06.28 12:00,162,문피아_유료,매니저가 힘을 갖고 돌아왔다,1,2416149,18166.533834586466,430.97744360902254,7421.022556390977,86.81954887218045,14914.5,353.82716049382714,6092.567901234568,71.27777777777777
주딩크,7.4,0,연재작,4127,12,636550,https://novel.munpia.com/280349,46,18886,2021.11.08 12:30,2021.09.23 12:00,106,문피아_유료,천재 사원이 되었습니다,1,860846,18714.043478260868,410.5652173913044,13838.04347826087,89.71739130434783,8121.188679245283,178.16981132075472,6005.188679245283,38.93396226415094
Dr.두돈반,6.1,0,연재작,15008,13,1096619,https://novel.munpia.com/266158,132,101906,2021.11.08 12:20,2021.06.29 12:00,165,문피아_유료,참모총장이 되어보기로 했다,1,2725917,20650.886363636364,772.0151515151515,8307.719696969696,113.6969696969697,16520.70909090909,617.6121212121212,6646.175757575757,90.95757575757575
런치,7.1,0,연재작,6231,14,743603,https://novel.munpia.com/275381,89,26616,2021.11.08 12:20,2021.08.11 12:00,134,문피아_유료,벼락을 맞았다,1,1415233,15901.494382022473,299.0561797752809,8355.08988764045,70.01123595505618,10561.440298507463,198.62686567164178,5549.276119402985,46.5
닥훈,7.6,0,연재작,6578,15,386695,https://novel.munpia.com/284855,13,22471,2021.11.08 12:20,2021.10.26 12:00,71,문피아_유료,세계부자 1위의 한국인,1,1345183,103475.61538461539,1728.5384615384614,29745.76923076923,506.0,18946.23943661972,316.49295774647885,5446.408450704225,92.64788732394366
