unit_id,book_id,charge,count_comment,date,letter,purchase,rate_change_purchase,rate_change_purchase_five,rate_change_purchase_five_avg,rate_change_recommendation_five,rate_change_recommendation_five_avg,recommendation,serial,sub_title,target,version
0,0,무료,18,2021.08.11,11,47482,,,,,,464,1,노숙자,True,1
1,0,무료,15,2021.08.12,12,35676,-0.24864159049745166,,,,,443,2,20년 전,True,1
2,0,무료,30,2021.08.13,12,31441,-0.11870725417647718,,,,,463,3,귀인,True,1
3,0,무료,12,2021.08.14,13,28573,-0.09121847269488884,,,,,433,4,정치 지망생,True,1
4,0,무료,12,2021.08.15,13,28633,0.0020998845063521505,-0.3969714839307527,-0.11411685821561637,-0.11422413793103449,-0.02892875608244983,411,5,할아버지의 유산,True,1
5,0,무료,19,2021.08.16,12,26859,-0.061956483777459576,-0.24714093508240834,-0.06744558153561836,-0.12866817155756208,-0.03282091356210417,386,6,신입생,True,1
6,0,무료,9,2021.08.17,13,25629,-0.04579470568524517,-0.18485417130498394,-0.049217444412810354,-0.058315334773218146,-0.011724175588560622,436,7,밀레니엄,True,1
7,0,무료,10,2021.08.18,13,25200,-0.0167388505208943,-0.11804850733209674,-0.030597538869311724,-0.050808314087759814,-0.009860333870210014,411,8,2002년의 추억,True,1
8,0,무료,16,2021.08.19,12,25087,-0.0044841269841269845,-0.12384311808053644,-0.03224354174193151,0.009732360097323601,0.00527483467606084,415,9,전역,True,1
9,0,무료,18,2021.08.20,13,24958,-0.0051421054729541196,-0.0707770207379277,-0.018039947165805145,0.046632124352331605,0.013855141304032582,404,10,복학생,True,1
10,0,무료,13,2021.08.21,13,24988,0.0012020193925795337,-0.02501073003238519,-0.0062907658963489675,-0.11697247706422019,-0.030285704127660844,385,11,두 번째 투자,True,1
11,0,무료,14,2021.08.22,13,24313,-0.02701296622378742,-0.0351984126984127,-0.008859294822072247,-0.0851581508515815,-0.021794997586495585,376,12,청춘의 문,True,1
12,0,무료,17,2021.08.23,13,23867,-0.01834409575124419,-0.04863076493801571,-0.012324287013851548,-0.11566265060240964,-0.030212130164017977,367,13,노숙자와 페라리,True,1
13,0,무료,43,2021.08.24,13,23454,-0.017304227594586667,-0.060261238881320615,-0.015364817544259685,-0.1806930693069307,-0.04810878490286437,331,14,판도라의 상자,True,1
14,0,무료,15,2021.08.25,14,22674,-0.0332565873624968,-0.09260445013606532,-0.02397946923302877,-0.14545454545454545,-0.037861933178417004,329,15,카르페 디엠,True,1
15,0,무료,9,2021.08.26,13,21515,-0.05111581547146511,-0.11508246617036154,-0.03000518154494819,-0.11170212765957446,-0.02821838523699672,334,16,은밀한 라이벌,True,1
16,0,무료,10,2021.08.27,13,20919,-0.027701603532419242,-0.1235178279632966,-0.032344558490241954,-0.08991825613079019,-0.022234342683805232,334,17,트라우마,True,1
17,0,무료,6,2021.08.28,13,20247,-0.03212390649648645,-0.13673573804041955,-0.0360494782157169,-0.030211480362537766,-0.0074417208430181386,321,18,동호회,True,1
18,0,무료,2,2021.08.29,13,20201,-0.00227194152220082,-0.10906765458234101,-0.028303316755642904,-0.03343465045592705,-0.008267595423022092,318,19,구리왕,True,1
19,0,무료,2,2021.08.30,13,19580,-0.03074105242314737,-0.08993725307924703,-0.02320962599356347,-0.059880239520958084,-0.015211641608336844,314,20,실크로드,True,1
20,0,무료,5,2021.08.31,13,19390,-0.009703779366700716,-0.07309144796596395,-0.018710169952133836,-0.09880239520958084,-0.025561960079674425,301,21,유능한 사업가,True,1
21,0,무료,6,2021.09.01,13,18668,-0.037235688499226406,-0.0779868622511977,-0.01998811545281883,-0.06542056074766354,-0.01666198594157189,300,22,크리스마스 트리,True,1
22,0,무료,3,2021.09.02,13,18845,0.009481465609599315,-0.06712538983218652,-0.017049763669868795,-0.05660377358490566,-0.01432553734344105,300,23,금의환향,True,1
23,0,무료,5,2021.09.03,13,19023,0.009445476253648182,-0.028447395301327887,-0.007003131500669906,-0.07006369426751592,-0.017847549922057403,292,24,프랑스에서 온 여자,True,1
24,0,무료,5,2021.09.04,13,18230,-0.04168637964569206,-0.059824651882413614,-0.014998781570417742,-0.04983388704318937,-0.012634217752089687,286,25,기회의 땅,True,1
25,0,유료,4,2021.09.04,13,93,-0.9948985189248492,-0.9950182129847868,-0.2544144891768234,-0.08666666666666667,-0.02229316345754702,274,26,고려인,True,1
26,0,유료,4,2021.09.05,13,85,-0.08602150537634409,-0.9954895197665163,-0.27829023192330926,-0.06,-0.01499389338455432,282,27,바다와 호수,True,1
27,0,유료,4,2021.09.06,13,84,-0.011764705882352941,-0.9955842926983126,-0.2835927774573096,-0.03424657534246575,-0.008327226717887652,282,28,프론티어,True,1
