version,author,ending,source,title,cnt,serial_time,cnt_per_serial
1,광악,완결작,문피아_유료,자유인(과학의 군림자),100,241,0.4149377593360996
2,광악,완결작,문피아_유료,자유인(과학의 군림자),100,241,0.4149377593360996
4,광악,완결작,문피아_유료,자유인(과학의 군림자),100,241,0.4149377593360996
3,광악,완결작,문피아_유료,자유인(과학의 군림자),100,241,0.4149377593360996
3,플레인Y,연재작,문피아_무료,초능력자 H,61,161,0.37888198757763975
2,유랜,연재작,문피아_무료,블랙번 아이작,103,276,0.37318840579710144
3,유랜,연재작,문피아_무료,블랙번 아이작,103,276,0.37318840579710144
4,유랜,연재작,문피아_무료,블랙번 아이작,103,276,0.37318840579710144
1,유랜,연재작,문피아_무료,블랙번 아이작,103,276,0.37318840579710144
2,플레인Y,연재작,문피아_무료,초능력자 H,59,159,0.3710691823899371
4,플레인Y,연재작,문피아_무료,초능력자 H,59,162,0.36419753086419754
2,알리야,연재작,문피아_무료,아리아 - 괴물이 된 아이,74,204,0.3627450980392157
3,알리야,연재작,문피아_무료,아리아 - 괴물이 된 아이,74,204,0.3627450980392157
1,알리야,연재작,문피아_무료,아리아 - 괴물이 된 아이,74,204,0.3627450980392157
4,알리야,연재작,문피아_무료,아리아 - 괴물이 된 아이,73,204,0.35784313725490197
1,Solitopia,연재작,문피아_무료,최후에 이르는 운명,127,356,0.35674157303370785
2,Solitopia,연재작,문피아_무료,최후에 이르는 운명,127,356,0.35674157303370785
3,Solitopia,연재작,문피아_무료,최후에 이르는 운명,127,356,0.35674157303370785
4,Solitopia,연재작,문피아_무료,최후에 이르는 운명,127,356,0.35674157303370785
1,플레인Y,연재작,문피아_무료,초능력자 H,55,157,0.3503184713375796
4,메이얀,연재작,문피아_무료,샤일런스 스토리 : 세 개의 길,36,106,0.33962264150943394
3,메이얀,연재작,문피아_무료,샤일런스 스토리 : 세 개의 길,36,106,0.33962264150943394
1,메이얀,연재작,문피아_무료,샤일런스 스토리 : 세 개의 길,36,106,0.33962264150943394
2,메이얀,연재작,문피아_무료,샤일런스 스토리 : 세 개의 길,36,106,0.33962264150943394
2,공달,연재작,문피아_무료,금탄환의 전설,46,137,0.3357664233576642
4,공달,연재작,문피아_무료,금탄환의 전설,46,137,0.3357664233576642
3,공달,연재작,문피아_무료,금탄환의 전설,46,137,0.3357664233576642
1,공달,연재작,문피아_무료,금탄환의 전설,46,137,0.3357664233576642
1,니그라토,연재작,문피아_무료,니그라토 기타 단편 모음,94,283,0.3321554770318021
3,역전승,완결작,문피아_유료,황사평의 기적,75,228,0.32894736842105265
2,역전승,완결작,문피아_유료,황사평의 기적,75,228,0.32894736842105265
4,역전승,완결작,문피아_유료,황사평의 기적,75,228,0.32894736842105265
1,역전승,완결작,문피아_유료,황사평의 기적,75,228,0.32894736842105265
2,니그라토,연재작,문피아_무료,니그라토 기타 단편 모음,93,283,0.3286219081272085
3,니그라토,연재작,문피아_무료,니그라토 기타 단편 모음,93,283,0.3286219081272085
1,Nell..,연재작,문피아_무료,검은 새벽의 빛,19,58,0.3275862068965517
4,Nell..,연재작,문피아_무료,검은 새벽의 빛,19,58,0.3275862068965517
3,Nell..,연재작,문피아_무료,검은 새벽의 빛,19,58,0.3275862068965517
2,Nell..,연재작,문피아_무료,검은 새벽의 빛,19,58,0.3275862068965517
3,니그라토,연재작,문피아_무료,괴우주야사,61,187,0.32620320855614976
